submissiondate,starttime,endtime,deviceid,subscriberid,simid,devicephonenum,username,duration,caseid,time,association,vehicle,origin,destination,specify_destination,passengers,registration,instanceid,formdef_version,key,time_interval,date,day of the week,day,month,year,city,specify_origin
"Dec 11, 2020 7:31:49 AM","Dec 11, 2020 7:29:40 AM","Dec 11, 2020 7:31:33 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),113,,"Dec 11, 2020 7:29:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,5.0,B546BIW,uuid:6123b559-f3c3-408e-98f0-f599ce9cf075,2012091737,uuid:6123b559-f3c3-408e-98f0-f599ce9cf075,07:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 7:51:03 AM","Dec 11, 2020 7:49:03 AM","Dec 11, 2020 7:50:44 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),102,,"Dec 11, 2020 7:49:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,6.0,B961AZO,uuid:63797307-f272-44a5-9e32-e2891adc36a7,2012091737,uuid:63797307-f272-44a5-9e32-e2891adc36a7,07:45:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:00:44 AM","Dec 11, 2020 7:51:29 AM","Dec 11, 2020 7:53:19 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),110,,"Dec 11, 2020 7:51:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,8.0,B345BJA,uuid:32b58f1e-a79d-4dc9-b0cd-0782d9caac57,2012091737,uuid:32b58f1e-a79d-4dc9-b0cd-0782d9caac57,08:00:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:00:44 AM","Dec 11, 2020 7:54:12 AM","Dec 11, 2020 7:56:34 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),130,,"Dec 11, 2020 7:54:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,6.0,B783BJA,uuid:fe3518af-58da-4359-8e1b-a41b314666e8,2012091737,uuid:fe3518af-58da-4359-8e1b-a41b314666e8,08:00:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:00:44 AM","Dec 11, 2020 7:56:43 AM","Dec 11, 2020 8:00:26 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),194,,"Dec 11, 2020 7:56:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,5.0,B546BIW,uuid:4cffdbb8-79b3-49ee-923e-16dac9913e5b,2012091737,uuid:4cffdbb8-79b3-49ee-923e-16dac9913e5b,08:00:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:06:48 AM","Dec 11, 2020 8:05:28 AM","Dec 11, 2020 8:06:37 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),69,,"Dec 11, 2020 8:05:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,6.0,B546BIW,uuid:70c54b4a-7211-4a27-ad2a-7dd59aa4b712,2012091737,uuid:70c54b4a-7211-4a27-ad2a-7dd59aa4b712,08:00:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:07:59 AM","Dec 11, 2020 8:06:53 AM","Dec 11, 2020 8:07:42 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),49,,"Dec 11, 2020 8:06:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,3.0,B837BLG,uuid:3b3e5366-3d22-404a-a5a9-a9b7b9ac28d9,2012091737,uuid:3b3e5366-3d22-404a-a5a9-a9b7b9ac28d9,08:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:19:33 AM","Dec 11, 2020 8:11:54 AM","Dec 11, 2020 8:12:41 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),47,,"Dec 11, 2020 8:11:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,4.0,B686BHL,uuid:306c9293-f003-4cbf-8fe6-23805220e8ee,2012091737,uuid:306c9293-f003-4cbf-8fe6-23805220e8ee,08:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:19:33 AM","Dec 11, 2020 8:12:58 AM","Dec 11, 2020 8:15:37 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),159,,"Dec 11, 2020 8:13:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,6.0,B289AUB,uuid:9a52800c-7d78-4136-8d28-62cee8088cb7,2012091737,uuid:9a52800c-7d78-4136-8d28-62cee8088cb7,08:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:20:51 AM","Dec 11, 2020 8:19:41 AM","Dec 11, 2020 8:20:45 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),64,,"Dec 11, 2020 8:19:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,9.0,B784AZJ,uuid:ff430561-5bd9-4823-9eb0-68f593eece9e,2012091737,uuid:ff430561-5bd9-4823-9eb0-68f593eece9e,08:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:36:40 AM","Dec 11, 2020 8:24:48 AM","Dec 11, 2020 8:26:13 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),85,,"Dec 11, 2020 8:25:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,3.0,B981BGR,uuid:5a00e9b1-676c-4687-aaac-926f93b2e0c1,2012091737,uuid:5a00e9b1-676c-4687-aaac-926f93b2e0c1,08:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:38:29 AM","Dec 11, 2020 8:37:00 AM","Dec 11, 2020 8:38:07 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),67,,"Dec 11, 2020 8:37:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,8.0,B580BGS,uuid:a1af4032-0125-4252-a2dd-d7d3fd618756,2012091737,uuid:a1af4032-0125-4252-a2dd-d7d3fd618756,08:45:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:43:56 AM","Dec 11, 2020 8:39:05 AM","Dec 11, 2020 8:43:49 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),269,,"Dec 11, 2020 8:50:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,10.0,B373BDI,uuid:44f49abb-bce1-4a68-b595-39ef089a54a8,2012091737,uuid:44f49abb-bce1-4a68-b595-39ef089a54a8,08:45:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 8:46:28 AM","Dec 11, 2020 8:44:26 AM","Dec 11, 2020 8:46:16 AM",357079082886543,652020108940394.0,8926702071700243397f,,user (not yet authenticated),109,,"Dec 11, 2020 8:44:00 AM",Gaborone Taxi Association,Minibus Taxi,Mogoditshane,4,,9.0,B797AIW,uuid:114a3aab-fd08-477e-9fcc-5725dca8e4a1,2012091737,uuid:114a3aab-fd08-477e-9fcc-5725dca8e4a1,08:45:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 9:23:44 AM","Dec 11, 2020 6:49:03 AM","Dec 11, 2020 6:56:57 AM",8ecc9e9f337580dd,,,,user,248,,"Dec 11, 2020 6:54:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,14.0,B866 BIC,uuid:39e492dd-5e6f-4eca-8b2e-35c05e39e456,2012091737,uuid:39e492dd-5e6f-4eca-8b2e-35c05e39e456,09:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 9:23:45 AM","Dec 11, 2020 6:56:59 AM","Dec 11, 2020 7:05:18 AM",8ecc9e9f337580dd,,,,user,225,,"Dec 11, 2020 7:02:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone taxi rank,2,,15.0,B983 BDX,uuid:1839d645-6380-45dd-ac6d-4c391ee6876e,2012091737,uuid:1839d645-6380-45dd-ac6d-4c391ee6876e,09:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 9:23:45 AM","Dec 11, 2020 7:05:26 AM","Dec 11, 2020 7:14:28 AM",8ecc9e9f337580dd,,,,user,301,,"Dec 11, 2020 7:10:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,14.0,B377 AAC,uuid:dad280c6-c91f-4d7a-8c9b-fbb360ecc1aa,2012091737,uuid:dad280c6-c91f-4d7a-8c9b-fbb360ecc1aa,09:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 9:23:46 AM","Dec 11, 2020 7:15:38 AM","Dec 11, 2020 7:26:26 AM",8ecc9e9f337580dd,,,,user,648,,"Dec 11, 2020 7:14:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,15.0,B171 ATO,uuid:4393ff69-47b1-4b03-96a1-45c5df30464e,2012091737,uuid:4393ff69-47b1-4b03-96a1-45c5df30464e,09:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 9:23:46 AM","Dec 11, 2020 7:36:12 AM","Dec 11, 2020 7:37:15 AM",8ecc9e9f337580dd,,,,user,63,,"Dec 11, 2020 7:35:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone taxi rank,2,,15.0,B351 BBN,uuid:0681fda4-f1b4-4635-8013-87c9f6a15b2e,2012091737,uuid:0681fda4-f1b4-4635-8013-87c9f6a15b2e,09:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 9:23:46 AM","Dec 11, 2020 7:56:21 AM","Dec 11, 2020 7:59:34 AM",8ecc9e9f337580dd,,,,user,141,,"Dec 11, 2020 7:55:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,15.0,B323 BIZ,uuid:c8b648ce-1df9-40f6-b4c5-2029fe1f6989,2012091737,uuid:c8b648ce-1df9-40f6-b4c5-2029fe1f6989,09:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 9:23:47 AM","Dec 11, 2020 8:12:16 AM","Dec 11, 2020 8:14:19 AM",8ecc9e9f337580dd,,,,user,123,,"Dec 11, 2020 8:09:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,15.0,B858 BIU,uuid:0e8e6d0a-c64b-479a-a379-6f30c9fd8675,2012091737,uuid:0e8e6d0a-c64b-479a-a379-6f30c9fd8675,09:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 9:23:47 AM","Dec 11, 2020 8:26:01 AM","Dec 11, 2020 8:26:39 AM",8ecc9e9f337580dd,,,,user,38,,"Dec 11, 2020 8:25:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,15.0,B115 BBH,uuid:e0f5f1d8-022c-42ce-9aea-d6bb6473bcda,2012091737,uuid:e0f5f1d8-022c-42ce-9aea-d6bb6473bcda,09:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 9:23:48 AM","Dec 11, 2020 8:37:22 AM","Dec 11, 2020 8:38:25 AM",8ecc9e9f337580dd,,,,user,62,,"Dec 11, 2020 8:37:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,14.0,B756 BJX,uuid:7e5d0f11-0bf8-42cb-98ec-01e9470751cb,2012091737,uuid:7e5d0f11-0bf8-42cb-98ec-01e9470751cb,09:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 9:23:48 AM","Dec 11, 2020 8:53:40 AM","Dec 11, 2020 8:54:29 AM",8ecc9e9f337580dd,,,,user,50,,"Dec 11, 2020 8:52:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,14.0,B866 BIC,uuid:55cf5224-5e38-4389-90b8-4da5ec6d055e,2012091737,uuid:55cf5224-5e38-4389-90b8-4da5ec6d055e,09:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 9:23:48 AM","Dec 11, 2020 9:21:30 AM","Dec 11, 2020 9:23:04 AM",8ecc9e9f337580dd,,,,user,94,,"Dec 11, 2020 9:18:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,15.0,B983 BDX,uuid:f8ff3b77-9534-4dda-9250-6295dd3f6533,2012091737,uuid:f8ff3b77-9534-4dda-9250-6295dd3f6533,09:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 10:33:38 AM","Dec 11, 2020 9:36:43 AM","Dec 11, 2020 9:37:39 AM",8ecc9e9f337580dd,,,,user,55,,"Dec 11, 2020 9:36:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,14.0,B377 AAC,uuid:b63c1b98-a4fd-4b52-beb6-c7601b7b6dc1,2012091737,uuid:b63c1b98-a4fd-4b52-beb6-c7601b7b6dc1,10:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 10:33:39 AM","Dec 11, 2020 9:59:07 AM","Dec 11, 2020 10:00:20 AM",8ecc9e9f337580dd,,,,user,73,,"Dec 11, 2020 10:00:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,15.0,B171 ATO,uuid:eca1cf1d-4339-4310-b630-66bb1bafd276,2012091737,uuid:eca1cf1d-4339-4310-b630-66bb1bafd276,10:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 10:33:39 AM","Dec 11, 2020 10:08:08 AM","Dec 11, 2020 10:09:29 AM",8ecc9e9f337580dd,,,,user,81,,"Dec 11, 2020 10:07:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,14.0,B351 BBN,uuid:3682bf78-6f83-4ec7-99fc-5a27d3d30ae4,2012091737,uuid:3682bf78-6f83-4ec7-99fc-5a27d3d30ae4,10:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 10:33:39 AM","Dec 11, 2020 10:27:10 AM","Dec 11, 2020 10:27:49 AM",8ecc9e9f337580dd,,,,user,39,,"Dec 11, 2020 10:20:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,15.0,B323 BIZ,uuid:8562dac1-b1a6-4275-981a-506e0cf29271,2012091737,uuid:8562dac1-b1a6-4275-981a-506e0cf29271,10:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 10:33:40 AM","Dec 11, 2020 10:30:43 AM","Dec 11, 2020 10:31:28 AM",8ecc9e9f337580dd,,,,user,44,,"Dec 11, 2020 10:30:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,15.0,B858 BIU,uuid:b231e4ae-457b-4337-bbd5-f879e4a6bffa,2012091737,uuid:b231e4ae-457b-4337-bbd5-f879e4a6bffa,10:30:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 10:54:15 AM","Dec 11, 2020 10:53:02 AM","Dec 11, 2020 10:53:43 AM",8ecc9e9f337580dd,,,,user,42,,"Dec 11, 2020 10:52:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,2,,14.0,B115 BBH,uuid:19d68987-8827-4b05-bc9c-e2e0ebb8ccfe,2012091737,uuid:19d68987-8827-4b05-bc9c-e2e0ebb8ccfe,11:00:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:53 PM","Dec 11, 2020 6:37:01 AM","Dec 11, 2020 4:03:07 PM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),261,,"Dec 11, 2020 6:37:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,2.0,B580BLI,uuid:f9451349-7602-4f09-8cb4-a279e77f301c,2012091737,uuid:f9451349-7602-4f09-8cb4-a279e77f301c,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:54 PM","Dec 11, 2020 6:59:15 AM","Dec 11, 2020 7:37:34 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),78,,"Dec 11, 2020 6:58:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,3.0,B801BEU,uuid:f60e9efa-1846-4e60-89e3-1d45721e7a90,2012091737,uuid:f60e9efa-1846-4e60-89e3-1d45721e7a90,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
