vehicle reg no,trip id,route description,mapper,company,date mapped,start coordinate,end coordinate,distance,start time,travel time,revenue,on/off discrepancy,fares,number of stops,total passengers,gps loss (km),city,route_id,direction,origin,destination,interval,travel_time_min,speed,hour,peak period,number plate,vehicle type
MB210,30466075,MAS001_Route_Test,Mafusi Moloeli,Maseru_Association_Test,12/8/2020,"27.540928, -29.296537","27.540094, -29.296289",0.12,12:41:08,0:02,1635,0,109,4,15,0,Maseru,MAS001,Route,Test,0,12:45:00,2,3.6,12,off peak,MB 210,Mini-bus
MB210,30466267,MAS001_Route_Test,Mafusi Moloeli,Maseru_Association_Test,12/8/2020,"27.539867, -29.296198","27.539867, -29.296198",0,12:47:27,0:02,150,0,10,4,15,0,Maseru,MAS001,Route,Test,0,12:45:00,2,0,12,off peak,MB 210,Mini-bus
C9253,30466392,MAS001_Route_Test,Mantlatseng Tabaliatile,Maseru_Association_Test,12/8/2020,"27.540100, -29.296263","27.540100, -29.296263",0,12:54:08,0:01,112,0,8,6,14,0,Maseru,MAS001,Route,Test,0,13:00:00,1,0,12,off peak,C9253,Mini-bus
C9253,30466461,MAS001_Route_Test,Mantlatseng Tabaliatile,Maseru_Association_Test,12/8/2020,"27.540133, -29.296221","27.540030, -29.296251",0.01,12:59:54,0:01,128,0,8,5,16,0,Maseru,MAS001,Route,Test,0,13:00:00,1,0.6,12,off peak,C9253,Mini-bus
MB210,30466512,MAS001_Route_Test,Mafusi Moloeli,Maseru_Association_Test,12/8/2020,"27.540644, -29.296486","27.539713, -29.296383",0.18,13:06:32,0:04,150,0,10,4,15,0,Maseru,MAS001,Route,Test,0,13:00:00,4,2.7,13,off peak,MB 210,Mini-bus
C9253,30466675,MAS001_Route_Test,Mantlatseng Tabaliatile,Maseru_Association_Test,12/8/2020,"27.540119, -29.296209","27.540089, -29.296268",0.03,13:28:27,0:00,56,7,8,1,7,0,Maseru,MAS001,Route,Test,0,13:30:00,0,0,13,off peak,C9253,Mini-bus
C9253,30466971,MAS005_F_Maseru Town Center_Abia,Mantlatseng Tabaliatile,Maseru_Association_Test,12/8/2020,"27.540100, -29.296307","27.540062, -29.296276",0.02,13:51:42,0:00,0,0,0,1,0,0,Maseru,MAS005,F,Maseru Town Center,Abia,13:45:00,0,0,13,off peak,C9253,Mini-bus
MB210,30467922,MAS001_F_Maseru Town Center_Khubetsoana,Mafusi Moloeli,Maseru_Association_Test,12/8/2020,"27.524801, -29.281960","27.524590, -29.282143",0.07,19:02:27,0:05,172.5,0,7.5,10,23,0,Maseru,MAS001,F,Maseru Town Center,Khubetsoana,19:00:00,5,0.84,19,peak,MB 210,Mini-bus
C9253,30469141,MAS005_F_Maseru Town Center_Abia,Mantlatseng Tabaliatile,Maseru_Association_Test,12/8/2020,"27.499619, -29.337173","27.499619, -29.337173",0,20:58:02,0:01,120,0,8,6,15,0,Maseru,MAS005,F,Maseru Town Center,Abia,21:00:00,1,0,20,peak,C9253,Mini-bus
ME087,30469501,MAS004_R_Maseru Town Center_Motimposo,Mamello Tente,Maseru_Association_Test,12/9/2020,"27.527672, -29.376221","27.527435, -29.376244",0.03,1:31:35,0:02,120,0,8,4,15,0,Maseru,MAS004,R,Maseru Town Center,Motimposo,1:30:00,2,0.9,1,peak,M E087,Mini-bus
